Directory,Object holding data,Type of data,Checksum
C:\Users\Mateusz\AppData\Local\Programs\deepcool\deepcool.exe,0,4,f93803ffc30e164afaab9a2672e228a8a0d2984e84629fe23d8842e03e30015f7be6d72bfc7216bd57a9aebb63892f471d603ba767b45b8e4257a62c9809b265
E:\iRacing\ui\iRacingUI.exe,0,4,87d0dbed5bc36824ecc5e4f54a2fb2c7c1fd46d191de5ecc9db61eef5a708d97bb0f338e33732117e01e14b5cbcaa1a71c2e73bd40d6d1ce5e298f92021aa3d1
E:\iRacing\iRacingSim64DX11.exe,0,4,e6b89aae3a3570c7a817011e098f8e8ca1d31b338483ad7691b2620b6594051cb7d7b2f2a7313be34a559943325b1b5d93e7f30c204bbc298ee68c394927380b
E:\iRacing\iRacingLocalServer64.exe,0,4,d0620b81eefc3af66c6531c8b5c7ec8450a0165ffdfd3878a36675f4ba4b0dc395dd186a4ebd8b95605f065b4fbeb8ba0aa3c470e72fd4c1d7cb49a53ba639f2
C:\Program Files\HWiNFO64\HWiNFO64.EXE,0,4,1bc1838658b2089646d1fc8f5df45e21339df0ef42c2857633ac0478750d756281c79bc983a03e02800d6bd21b8a464986757f77659c940af59f35a506940ce5
G:\SteamLibrary\steamapps\common\XCOM 2\XCom2-WarOfTheChosen\Binaries\Win64\XCom2.exe,0,4,e68eee02bd0a675ad981b5a367babc2576e5bd58bfa1181368798cedb90dcbff5c0c0fc0f442bb40f0a9bb8dbdcb58f26f29e515cba11eedf983fe1bfbf781d2
G:\SteamLibrary\steamapps\common\Men of War Assault Squad 2\mowas_2.exe,0,4,034a31c5f029c770348267d7fc3dd3600884e4005d0f3cfdf942fa93f24afbe8f2f3fec78bcd183660e4eabda4d0fae3f10f8bf9ffea602c78ca7c92488b3347
E:\Steam Library\steamapps\common\rocketleague\Binaries\Win64\RocketLeague.exe,0,4,15471ff501ab7366385bdd454e15fafdb28177a93fc9bab6b45fd8cf83583c910f49e6fcc293cd0d8575609d83c480acc64c9c105b6f06c44a9bbd33381ec9be
C:\Windows\System32\msiexec.exe,0,4,080f1d4bdb6124c261bc8a060e7676158007aa842ce7f15f0a8a6cf90de21961f23b42c788d2628dbb7db265ebec1d506fd530d2d828caab35f2bcb9f454f76d
E:\Steam Library\steamapps\common\Hearts of Iron IV\hoi4.exe,0,4,083bc26c7f6a3132c176972b73a64da8fd4cfba0d8c4e25ab7d68fe92abbdba750ded1034cd174ab0d672bba0c977ad1f7ada6df039db749518cd5fb59a93fba
C:\Windows\System32\svchost.exe,0,4,feab82c90928dca419c40a52c7ff7748a6c6d0dd9cb14ee7e483c1b7dc8d0a032729995bb9d7881b76f5611b6e5730791c749fb4b704f646816d315d93fe825e
E:\Steam Library\steamapps\common\Arma 3\arma3_x64.exe,0,4,2c30da7dbc35e20142b58d4e44df564a94f4028c4621bc7d4f06d93a4460f216e71994d5af73e31a4b726732e183c705ced9bcc38c30f8b338632d1856dd5a05
E:\Steam Library\steamapps\common\Arma 3\arma3launcher.exe,0,4,5753ee3f1793b2b70ec560a606a691009f84e5fe349ff5aebfad03d2041b3d85d32eba50d43e997f55cecd902e023329fa57029b9597d1a6a6b3d92d15248d31
C:\Program Files\VideoLAN\VLC\vlc.exe,0,4,7d491c0a97ce60e22238a1a3530f45fbb3c82377b400d7986db09eccad05c9c22fb5daa2b4781882f870ab088326e5f6156613124caa67b54601cbad8f66aa90
G:\Backup\Apki\rufus-4.1.exe,0,4,33664487bddc4e8b695a0099ecf9a63ad1fea3f159dfcbc5e0babeaaa2c6d67b40185a5f4d1f4b1be84ffa111a8ec0a0b2d18f15cd4f8805557d92a29d1bc985
G:\Gry\F1 23\F1_23.exe,0,4,092a473336c324e93c734b84fa31890c6ac2003d54e8d29b0745ebe856d800aac94e8e47ea711aae200a6d98fb043211142063ebb538272390bbb412134ddf8c
E:\iRacing\updater\iRacingUpdater.exe,0,4,2794b1395f937edd1c7be80d6a0bce800c8404a4a3bde04b03584fc2cdb282619895ee8ab8070e118d6d949b0c9e5de3edd5260da8613917e65bfd7785aa40f9
C:\Program Files\Electronic Arts\EA Desktop\EA Desktop\EADesktop.exe,0,4,ff0c1afe089fb93d2dd1357dcd0e8f765ae80fa1d7214108a3865cd655b33d147ab812f93d1131d2b02fdd8d6162f54e169fa119d63da2e2ddde1c0006da0220
C:\Users\Mateusz\AppData\Local\kapps\app-1.24.13\resources\app.asar.unpacked\iRacingBrowserApps\bettertp.exe,0,4,ecd3b94549d55908beef45c34679d28dc1fa3d72fcaa6122d92a940ce23fb54ee12b83cb3ed6469ca6c1a80ae8edf64db59da745974b4ec883d1edf16b486787
E:\SDF\SixDays\Binaries\Win64\SixDays-Win64-Shipping.exe,0,4,312ae7e8f68c03389ea18faae4ed790ea18f8166c72aae1ac1b0d62ecba1e32c08ef7025cc59edaa7bb69baf72cc253c0ed930ba459a8139c85bdc59a50c54a8
C:\Program Files\paint.net\paintdotnet.exe,0,4,05d56190b1651c794d45a9847517288c12e75a00ad9bcbcab266cd19aecd113115f5229a9f3ec6709a712c873428e0b49134f3aa2247d0a145d07a150cdf42a5
C:\Program Files\Python311\Lib\site-packages\PySide6\designer.exe,0,4,d7421b86fe02fbd88a5952d5dfc1f5d513a17ab098fc252b9da52c1f01844427df69fa6edbe5b0f1cc0aa3414b6aad57b5700a2c8055ee8e6e7cfd0f6273ba24
C:\Program Files\Python311\Lib\site-packages\PySide6\rcc.exe,0,4,5aa2463773702a90b978db20a94431e2bbf183c987054db52c291e8ccf6ea33917c5d7fd9c66cf5ecd7eb0185a782b3bcf4c6853ccc1467f490851960444f97c
G:\Gry\The Witcher 3 Wild Hunt GOTY\bin\x64_dx12\witcher3.exe,0,4,10859600b8cfa85ce4f22102f148919083b113de1fe7226bead5bf6be8d089eb7407dda4eef9d4abe00f5eceaa4396285309810e5dedd8fd3ca21e7d7208f9a1
D:\SteamLibrary\steamapps\common\3DMark\bin\x64\jre\bin\javaw.exe,0,4,538462f2e897cc5feb65b6f33d544d918d54793ce5ce88b1f80b586365d0fe50587dd9e6c0bc1e9309abe45fa99fb38c3cdbeb7c5895f042bb6bcc6a860d7cb9
C:\Program Files\Steam\steam.exe,0,4,305e1ac720efacc05f58f7b2ef6266f83bbd8104f329fa9c68b7969b47ac760cd6595ac8014fcdbad18bd0bac0e829a02ed9f1d8fdb06c488d60f115f5d85915
E:\EA Library\FIFA 23\FIFA23.exe,0,4,53bf49792d94ae7505efcd42b63944d08e2acf6bfb79c71d9d0e1979d080fd96933b1fa8850194cf70f44aa7f9c261329ebfea32661c73052793c6afd2f1532f
C:\Program Files\CapFrameX\CapFrameX.exe,0,4,b2fcb1049f29db21023a98beb949da0fff974e5458d580f2537a38f8eb507a03f9f80808c02ccc81399ec4b5291838ec4958b4e59805c110dbd76244a3f486e8
E:\Steam Library\steamapps\common\Trackmania\Trackmania.exe,0,4,586e0c73cb3635fb40f779e613594237614bb0110a7c7c0f9490fb5a3a50063d7c51bfc8002d9ad7dd4e2deee9d30ebca90ad941d27b21d51d4ac988d0c83447
D:\Mirrors Edge Catalyst\MirrorsEdgeCatalyst.exe,0,4,2d4d88a695e651890b71246e184d6cd4360aadc64b4587c9d610cfe73a12d926b21043af239182fbdc3d6531706af636ee0cbdb67e9be6101af738477d96fe40
D:\Projects\Compiled Code\PiRO-rewritten-output\v1.0-alpha\PiRO-v1.0.3-alpha.exe,0,4,0652846a369e8d55c738afcd3f47146fcd119fe797002fa0184acd811b007c91922a546f3ceb56b818f36dfe179e1d77006aef6b5fd100a223b803148cc38a5e
G:\Gry\The Sims 4\Game\Bin\TS4_x64.exe,0,4,44b783df857276a40d8fa748ff3157e5c921ab36f2deea6419db69e3a733f28d7be215b6dabf56b91ddfb96a208c5540904dcae401fac68341af4e2d724253e5
C:\Users\Mateusz\AppData\Local\Programs\Paradox Interactive\launcher\launcher-v2.2023.10\Paradox Launcher.exe,0,4,5c75b61df62b631e6c22e09c74dbcf501bf0ea870d4c69329e404fe5f457cf3703337442ddbaf3104bd3be443fb9f4af56f9c33290dab3641bb4acfda81d3933
C:\Users\Mateusz\AppData\Local\Programs\Paradox Interactive\launcher\launcher-v2.2023.10.1\Paradox Launcher.exe,0,4,c8c84416c8bf61fcafafcd503a32d974dcdd422d3fb6e6c86bdefd421291153b941d3c8f1f05ee0d0cfd791219344ef2ea7535e6f894dfe201a5348b8f9d3203
C:\Program Files\Python311\python.exe,0,4,68ac3cea6930002a2deae17deae2ea847403987367cbaeb7a0d324a05d162f63b740f2a1c2aca13eae818b1648c328a87c2e626c59468b43b70e6e6da74c98a1
